"wave"	"subject_bucket"	"course_id"	"course_name"	"chapters_to_fill"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"target_questions_with_images"
"WAVE_L1"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"14"	"504"	"168"	"168"	"112"	"56"	"56"
"WAVE_L1"	"HINDI"	"72"	"CBSE Grade 4 Hindi Language - Exam Prep"	"18"	"648"	"216"	"216"	"144"	"72"	"72"
"WAVE_M1"	"MATH"	"65"	"CBSE Grade 8 Mathematics - Exam Prep"	"27"	"1215"	"540"	"324"	"216"	"135"	"164"
"WAVE_M1"	"MATH"	"149"	"CBSE Grade 7 Mathematics - Exam Prep"	"23"	"1035"	"460"	"276"	"184"	"115"	"141"
"WAVE_M1"	"MATH"	"154"	"Concise Math Grade 10 - Exam Prep (ICSE)"	"25"	"1125"	"500"	"300"	"200"	"125"	"142"
"WAVE_M2"	"MATH"	"33"	"CBSE Grade 4 Mathematics - Exam Prep"	"22"	"990"	"440"	"264"	"176"	"110"	"116"
"WAVE_M2"	"MATH"	"34"	"CBSE Grade 5 Mathematics - Exam Prep"	"2"	"90"	"40"	"24"	"16"	"10"	"8"
"WAVE_M2"	"MATH"	"35"	"CBSE Grade 6 Mathematics - Exam Prep"	"18"	"810"	"360"	"216"	"144"	"90"	"114"
"WAVE_M2"	"MATH"	"39"	"CBSE Grade 6 Mathematics (Living Maths) - Exam Prep"	"12"	"540"	"240"	"144"	"96"	"60"	"69"
"WAVE_M2"	"MATH"	"43"	"CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep"	"12"	"540"	"240"	"144"	"96"	"60"	"76"
"WAVE_M2"	"MATH"	"66"	"ICSE Mathematics Grade 5 - Exam Prep"	"11"	"495"	"220"	"132"	"88"	"55"	"65"
"WAVE_M2"	"MATH"	"68"	"CBSE Grade 6 Math Divine"	"9"	"405"	"180"	"108"	"72"	"45"	"64"
"WAVE_M2"	"MATH"	"74"	"Grade 6 CBSE New Enjoying Mathematics"	"17"	"765"	"340"	"204"	"136"	"85"	"110"
"WAVE_S1"	"SCIENCE"	"47"	"ICSE Science Grade 5 - Exam Prep"	"12"	"504"	"216"	"144"	"96"	"48"	"120"
"WAVE_S2"	"CHEMISTRY"	"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"13"	"546"	"234"	"156"	"104"	"52"	"130"
"WAVE_S2"	"PHYSICS"	"155"	"Concise Physics Grade 10 - Exam Prep (ICSE)"	"12"	"504"	"216"	"144"	"96"	"48"	"120"
